List of importing markets for a product exported by Israel Product: 2204 Wine of fresh grapes
"Importers"	"2001-Exported quantity, Cubic meters"	"2002-Exported quantity"	"2002-Unit"	"2003-Exported quantity"	"2003-Unit"	"2004-Exported quantity"	"2004-Unit"	"2005-Exported quantity, Cubic meters"	"2006-Exported quantity, Cubic meters"	"2007-Exported quantity, Tons"	"2008-Exported quantity"	"2008-Unit"	"2009-Exported quantity, Tons"	"2010-Exported quantity, Tons"	"2011-Exported quantity"	"2011-Unit"	"2012-Exported quantity, "	"2013-Exported quantity, "	
Estonia	0	3	Cubic meters	1	Tons	3	Tons	20	12	53	2	Tons	0	No Quantity	0		0	No Quantity	
France	182	164	Cubic meters	344	Cubic meters	264	Tons	497	695	1,042	2,183	Cubic meters	493	No Quantity	1,580	Cubic meters	No Quantity	No Quantity	
Gabon	0	0		0		0		0	0	0	0		0	0	0		No Quantity	0	
Georgia	0	0		0		0		0	0	0	0		0	0	0		No Quantity	No Quantity	
Germany	287	246	Cubic meters	231	Cubic meters	154	Tons	245	258	270	539	Tons	142	No Quantity	651	Cubic meters	No Quantity	No Quantity	
Greece	3	2	Tons	5	Tons	7	Tons	3	4	4	11	Tons	2	0	2	Tons	No Quantity	No Quantity	
Guatemala	0	0		0		0		1	0	0	0		0	0	0		0	0	
Hong Kong, China	8	2	Cubic meters	4	Cubic meters	12	Tons	2	3	9	34	Tons	7	No Quantity	63	Cubic meters	No Quantity	No Quantity	
Hungary	3	15	Cubic meters	4	Cubic meters	1	Tons	3	13	2	11	Tons	0	0	7	Cubic meters	No Quantity	No Quantity	
Iceland	0	0		4	Tons	0		0	0	0	0		0	0	0		0	0	
Ireland	0	0		0		0		0	0	3	0		0	0	3	Tons	0	0	
Italy	125	124	Cubic meters	77	Cubic meters	47	Tons	143	157	112	375	Cubic meters	86	No Quantity	378	Cubic meters	No Quantity	No Quantity	
Côte d'Ivoire	0	0		0		1	Tons	0	0	0	8	Tons	0	0	0		0	0	
Japan	165	120	Cubic meters	51	Cubic meters	45	Cubic meters	87	95	94	341	Cubic meters	50	No Quantity	425	Cubic meters	No Quantity	No Quantity	
Kazakhstan	0	0		3	Cubic meters	0		0	1	0	0		3	0	0		0	0	
Jordan	0	0		0		0		1	2	0	2	Cubic meters	0	0	0		0	0	
Kenya	1	1	Tons	0		4	Tons	0	15	96	7	Tons	0	0	15	Tons	0	No Quantity	
Korea, Republic of	0	5	Cubic meters	10	Cubic meters	12	Tons	78	22	12	16	Tons	1	No Quantity	11	Tons	No Quantity	No Quantity	
Lithuania	3	0		0		0		0	0	0	0		17	0	0		0	0	
Maldives	1	0		0		0		0	0	0	0		0	0	0		No Quantity	0	
Malta	6	0		0		1	Tons	0	0	2	0		0	0	3	Tons	0	No Quantity	
Republic of Moldova	0	0		0		0		0	0	3	0		0	0	0		0	0	
Nepal	0	0		0		0		0	1	0	0		0	0	2	Tons	0	0	
Netherlands	127	88	Cubic meters	96	Cubic meters	69	Tons	95	139	495	546	Cubic meters	59	No Quantity	252	Cubic meters	No Quantity	No Quantity	
New Zealand	1	6	Tons	9	Cubic meters	10	Tons	8	0	1	2	Tons	0	No Quantity	5	Cubic meters	No Quantity	No Quantity	
Niger	0	0		0		0		0	0	0	0		1	0	0		0	0	
Nigeria	1	1	Cubic meters	0	Tons	1	Tons	4	0	1	0		0	0	0		No Quantity	No Quantity	
Norway	20	12	Tons	3	Tons	1	Tons	0	0	0	0		0	0	4	Tons	No Quantity	No Quantity	
Papua New Guinea	0	0		0		0		0	0	0	0		0	0	0		0	No Quantity	
Paraguay	0	0		0		1	Tons	0	0	0	0		0	0	0		0	0	
Poland	43	13	Cubic meters	10	Tons	43	Tons	46	77	188	357	Tons	69	No Quantity	695	Tons	No Quantity	No Quantity	
Portugal	0	0		0		0		0	0	4	0	Tons	0	0	0		0	No Quantity	
Senegal	0	0		0		0		1	0	0	0		0	0	0		0	0	
Viet Nam	0	0		0		0		0	1	0	0		0	0	0		No Quantity	0	
South Africa	83	23	Cubic meters	67	Cubic meters	45	Tons	33	55	98	60	Tons	9	No Quantity	40	Cubic meters	No Quantity	No Quantity	
Spain	36	20	Cubic meters	31	Cubic meters	3	Tons	23	6	54	45	Tons	2	No Quantity	2	Cubic meters	No Quantity	No Quantity	
Switzerland	75	34	Cubic meters	45	Cubic meters	57	Tons	61	132	57	172	Cubic meters	11	No Quantity	316	Cubic meters	No Quantity	No Quantity	
Syrian Arab Republic	0	0		0		0		0	0	0	11	Cubic meters	0	0	0		0	0	
Turkey	1	1	Tons	2	Tons	2	Tons	2	3	9	5	Cubic meters	1	0	0		0	0	
Uganda	0	0		0		0		0	0	0	0		0	0	1	Tons	0	0	
Egypt	0	0		0		0		0	0	0	7	Tons	0	0	0		0	0	
United Kingdom	318	230	Cubic meters	333	Cubic meters	341	Tons	483	394	694	987	Cubic meters	238	No Quantity	919	Cubic meters	No Quantity	No Quantity	
United States of America	1,314	1,367	Cubic meters	2,416	Cubic meters	1,545	Cubic meters	3,148	3,027	5,035	5,956	Cubic meters	4,415	No Quantity	8,248	Cubic meters	No Quantity	No Quantity	
Venezuela	0	0		0		0		0	1	0	0		0	0	0		0	0	
